"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.58005661596045,0.45,0.182,0,"0","MYO9B"
0,0.610789337460605,0.497,0.229,0,"0","CTSA"
0,1.77778801071016,0.394,0.126,0,"0","PTTG1IP"
0,5.44374941526196,0.275,0.008,0,"0","ANPEP"
0,0.695146203225566,0.834,0.567,0,"0","FLNA"
0,1.45772137210753,0.537,0.271,0,"0","METTL9"
0,3.49254535207041,0.289,0.023,0,"0","AC090559.1"
0,3.75565027135066,0.287,0.021,0,"0","SECTM1"
0,1.30850396546503,0.367,0.102,0,"0","MEF2C"
0,1.21516604342871,0.663,0.398,0,"0","BLOC1S1"
0,0.508806713991618,0.588,0.323,0,"0","HLA-DPB1"
0,1.38436076507006,0.551,0.287,0,"0","RNF149"
0,2.48296959208075,0.333,0.069,0,"0","MBOAT7"
0,0.942438125301019,0.354,0.09,0,"0","MPP1"
0,3.13717825021768,0.296,0.033,0,"0","RNF144B"
0,2.1987633440822,0.334,0.071,0,"0","SLC25A37"
0,1.38518727489509,0.468,0.205,0,"0","BNIP3L"
0,1.70265973104463,0.438,0.175,0,"0","PIM3"
0,1.18513471064347,0.806,0.544,0,"0","COX8A"
0,1.48635411712854,0.434,0.173,0,"0","TPP1"
0,2.05127197096275,0.387,0.127,0,"0","LAP3"
0,2.9236111283615,0.305,0.045,0,"0","LY96"
0,1.21687352176489,0.737,0.477,0,"0","ATP5MPL"
0,4.74899407169963,0.271,0.011,0,"0","MEFV"
0,1.5605731971319,0.446,0.186,0,"0","STX10"
0,6.13586340198734,0.263,0.004,0,"0","ASGR2"
0,4.05408192887701,0.276,0.017,0,"0","RASGRP4"
0,2.99226711849757,0.287,0.028,0,"0","LILRA1"
0,2.78854091620233,0.31,0.052,0,"0","NBPF14"
0,3.09841859337654,0.29,0.032,0,"0","CD86"
0,0.945143552549672,0.662,0.404,0,"0","DUSP1"
0,1.43954569380038,0.465,0.207,0,"0","PARVG"
0,1.27109316142748,0.555,0.298,0,"0","CKLF"
0,4.39585105366875,0.27,0.013,0,"0","CD1D"
0,2.47765548588433,0.315,0.058,0,"0","TESC"
0,2.79617431246258,0.308,0.051,0,"0","GAA"
0,3.46750950369833,0.286,0.03,0,"0","BCL6"
0,1.81939519564473,0.352,0.096,0,"0","LAT2"
0,1.628555050976,0.967,0.712,0,"0","RNASEK"
0,1.16607106403672,0.582,0.328,0,"0","GRK2"
0,1.18652805199187,0.528,0.275,0,"0","TXN"
0,2.85899000240591,0.301,0.048,0,"0","LACTB"
